Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
storm,7,NaiveBayes,No,No,No,74.88082141547488,0.06985294117647059,0.2835820895522388,0.5364657907698652,0.03647816964264818,19.0,253.0,1050.0,48.0
storm,7,IBk,No,No,No,74.88082141547488,0.09836065573770492,0.08955223880597014,0.5369411576041512,0.049441938918329986,6.0,55.0,1248.0,61.0
storm,7,RandomForest,Yes,No,No,74.88082141547488,0.12121212121212122,0.05970149253731343,0.5490372389777894,0.049314365882725676,4.0,29.0,1274.0,63.0
storm,7,NaiveBayes,Yes,No,No,74.88082141547488,0.2,0.14925373134328357,0.7024489982932612,0.13477439937495964,10.0,40.0,1263.0,57.0
storm,7,IBk,Yes,No,No,74.88082141547488,0.04918032786885246,0.13432835820895522,0.5230008820059335,4.339922887749149E-4,9.0,174.0,1129.0,58.0
storm,7,RandomForest,Yes,SMOTE,No,75.49633339295296,0.12,0.08955223880597014,0.5347418700816715,0.06341558695227655,6.0,44.0,1259.0,61.0
storm,7,NaiveBayes,Yes,SMOTE,No,75.49633339295296,0.10982658959537572,0.2835820895522388,0.5341920482010515,0.09449050775805085,19.0,154.0,1149.0,48.0
storm,7,IBk,Yes,SMOTE,No,75.49633339295296,0.1282051282051282,0.14925373134328357,0.5646957079529444,0.09005409196697003,10.0,68.0,1235.0,57.0
storm,7,RandomForest,Yes,UnderSampling,No,74.88082141547488,0.0625,0.8208955223880597,0.6453076138875843,0.027792143929052878,55.0,825.0,478.0,12.0
storm,7,NaiveBayes,Yes,UnderSampling,No,74.88082141547488,0.09487179487179487,0.5522388059701493,0.6907080102175233,0.08560026488681306,37.0,353.0,950.0,30.0
storm,7,IBk,Yes,UnderSampling,No,74.88082141547488,0.055676855895196505,0.7611940298507462,0.553899726234522,0.013886006637439276,51.0,865.0,438.0,16.0
storm,7,RandomForest,Yes,No,Yes,74.88082141547488,0.07476635514018691,0.11940298507462686,0.5222849680988763,0.033841868935288656,8.0,99.0,1204.0,59.0
storm,7,NaiveBayes,Yes,No,Yes,74.88082141547488,0.16037735849056603,0.2537313432835821,0.7024489982932612,0.14531026992091745,17.0,89.0,1214.0,50.0
storm,7,IBk,Yes,No,Yes,74.88082141547488,0.04918032786885246,0.13432835820895522,0.5230008820059335,4.339922887749149E-4,9.0,174.0,1129.0,58.0
storm,8,RandomForest,No,No,No,79.88867731067819,0.25,0.015625,0.5663972975553858,0.0240597940809031,1.0,3.0,1306.0,63.0
