Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
bookkeeper,4,RandomForest,Yes,No,No,73.83761276891047,0.25,0.3076923076923077,0.7547548605240912,0.24721878862793606,4.0,12.0,352.0,9.0
bookkeeper,4,NaiveBayes,Yes,No,No,73.83761276891047,0.0,0.0,0.7309805579036348,-0.009280742459397497,0.0,2.0,362.0,13.0
bookkeeper,4,IBk,Yes,No,No,73.83761276891047,0.1,0.23076923076923078,0.7004437869822485,0.09604043807919087,3.0,27.0,337.0,10.0
bookkeeper,4,RandomForest,Yes,SMOTE,No,76.12412919569347,0.10344827586206896,0.23076923076923078,0.8083262890955198,0.10000000000000073,3.0,26.0,338.0,10.0
bookkeeper,4,NaiveBayes,Yes,SMOTE,No,76.12412919569347,0.2631578947368421,0.38461538461538464,0.9137785291631445,0.2831460674157313,5.0,14.0,350.0,8.0
bookkeeper,4,IBk,Yes,SMOTE,No,76.12412919569347,0.11428571428571428,0.3076923076923077,0.75,0.12254160363086213,4.0,31.0,333.0,9.0
bookkeeper,4,RandomForest,Yes,UnderSampling,No,73.83761276891047,0.10309278350515463,0.7692307692307693,0.819737954353339,0.12883845126835772,10.0,87.0,277.0,3.0
bookkeeper,4,NaiveBayes,Yes,UnderSampling,No,73.83761276891047,0.033426183844011144,0.9230769230769231,0.6767751479289941,-0.0021847070506454775,12.0,347.0,17.0,1.0
bookkeeper,4,IBk,Yes,UnderSampling,No,73.83761276891047,0.0782608695652174,0.6923076923076923,0.7187235841081995,0.08385985066054008,9.0,106.0,258.0,4.0
bookkeeper,4,RandomForest,Yes,No,Yes,73.83761276891047,0.0847457627118644,0.38461538461538464,0.7999788672865596,0.08730964467005103,5.0,54.0,310.0,8.0
bookkeeper,4,NaiveBayes,Yes,No,Yes,73.83761276891047,0.033426183844011144,0.9230769230769231,0.7309805579036348,-0.0021847070506454775,12.0,347.0,17.0,1.0
bookkeeper,4,IBk,Yes,No,Yes,73.83761276891047,0.06976744186046512,0.23076923076923078,0.7004437869822485,0.05721716514954552,3.0,40.0,324.0,10.0
